Word, Sadness, Joy, Love, Anger, Fear, Surprise
bystanders,0,9,0,0,0,0
shortest,0,0,3,1,0,0
bullies,7,2,0,3,2,0
dramatically,8,12,2,4,5,2
ballroom,6,4,0,0,0,0
shaming,1,2,0,5,0,0
cardiovascular,0,2,1,0,0,0
bu,2,5,1,4,1,0
thequeenbuzz,3,0,0,0,0,0
functioning,15,12,1,2,2,2
android,3,6,0,1,3,2
behold,4,5,2,1,2,2
availability,0,4,0,2,0,0
waning,1,2,0,1,2,0
agony,18,22,7,6,5,2
creations,6,33,6,2,0,4
ugliness,9,4,0,3,0,0
exhibit,4,11,2,3,1,1
curators,1,0,1,0,0,0
overcrowded,2,1,1,1,0,0
council,10,16,5,4,2,0
consultation,4,6,1,1,1,0
loosing,16,19,4,6,5,1
puccini,0,0,0,0,1,0
bless,13,30,12,6,2,1
urgently,2,1,0,0,3,1
gmat,1,0,0,0,2,0
onset,9,2,1,3,2,2
sprung,4,2,1,2,1,0
desperatley,1,0,0,0,0,0
records,13,23,5,6,2,3
fonda,1,2,1,0,0,0
wiped,19,26,1,10,4,1
eliminate,9,6,4,4,5,0
barriers,6,9,2,1,4,0
innovation,1,10,2,0,2,1
movember,0,0,0,1,0,0
unofficial,1,1,1,0,0,0
messing,15,11,2,7,11,3
addict,12,10,2,4,4,0
mumbai,7,5,2,1,1,0
gospel,13,43,10,3,6,5
whatevers,2,8,1,0,0,0
immersion,3,4,1,0,0,0
unavoidable,3,3,0,1,0,0
hues,1,7,1,3,1,0
whoa,8,7,0,1,1,2
bitchfest,0,0,0,1,0,0
straits,2,0,1,2,1,0
nash,2,1,1,0,0,1
kuala,1,0,0,1,0,0
lumpur,1,0,0,0,0,0
reward,16,31,14,8,5,0
inappropriate,11,8,1,17,9,4
misses,6,7,4,2,3,2
dreamt,4,4,3,4,7,0
morph,1,5,2,1,0,0
polyester,0,2,1,0,0,0
golf,15,20,5,2,5,2
retiring,1,3,2,0,4,0
booth,11,5,0,6,2,4
mongolians,0,0,0,0,1,1
borrowed,5,10,1,12,2,1
dismay,3,3,1,4,5,0
morons,2,2,1,4,0,0
bubbling,6,10,1,4,4,1
affirms,0,0,1,0,0,0
depths,22,17,10,2,6,1
denied,25,23,7,16,5,1
notch,2,8,3,2,3,2
cough,46,31,4,13,6,1
runny,11,3,0,4,0,1
watery,4,3,0,1,1,0
funk,28,21,2,7,8,4
punish,15,10,5,11,4,0
manifesting,5,2,1,2,2,3
consisting,5,3,2,1,0,0
favours,1,0,0,1,1,0
cheerful,18,37,3,6,2,1
reygadas,0,1,1,0,0,0
structural,1,4,1,0,0,0
boistrouness,0,1,0,0,0,0
undoubtedly,6,9,1,3,3,1
sullied,1,1,0,0,0,0
glut,0,1,1,0,0,0
canadian,15,20,11,5,2,3
directive,1,1,0,1,0,0
principle,5,12,1,6,3,0
warmest,2,2,2,1,0,0
bye,20,15,6,14,3,0
interiority,0,0,0,0,1,0
flux,5,0,0,0,1,0
arts,14,38,18,10,5,3
rackspace,1,0,0,1,0,0
blown,16,19,1,10,10,4
infrastructure,1,5,3,3,1,0
computing,1,1,0,1,1,1
absorbed,7,6,5,4,4,0
photoshop,10,14,6,1,2,0
siren,2,4,0,1,2,2
echoing,3,4,1,1,1,0
hobbled,1,2,1,1,1,0
bruise,4,5,8,2,2,0
sprayed,4,3,0,2,0,0
hoses,1,0,0,1,0,0
repeated,13,13,1,11,6,2
mantra,10,14,5,2,4,1
heh,5,9,1,2,2,0
followers,21,36,26,5,6,2
seethe,0,1,0,1,0,0
cesspool,1,1,1,2,0,0
lovelies,2,3,3,2,1,0
tire,11,12,1,6,4,3
naive,20,36,6,8,3,0
preferring,4,3,0,0,2,1
brainy,1,0,1,0,1,0
wholesale,1,2,2,3,2,0
slaughter,1,3,1,1,1,1
gov,1,2,0,0,2,0
ernment,1,0,0,0,0,0
merge,1,3,1,1,1,1
capris,0,3,0,0,0,0
pencil,9,16,3,9,4,2
ost,0,0,1,0,0,0
chuuni,0,0,1,0,0,0
daaaawww,0,0,1,0,0,0
meleleh,0,0,1,0,0,0
seperti,0,0,1,0,0,0
es,4,7,3,2,1,0
krim,0,0,1,0,0,0
comedy,14,27,30,8,4,6
cooler,10,27,9,4,5,1
eleanor,2,2,1,2,0,0
jennifer,5,11,6,1,1,1
cutest,6,7,3,0,0,0
adrian,6,1,1,0,4,2
anheusers,1,0,0,0,0,0
fundraiser,2,3,1,1,2,1
missionary,9,26,6,3,6,2
unquestioned,1,0,0,0,0,0
policy,18,31,8,6,4,2
fuckedup,0,0,0,1,1,0
mysterious,5,17,7,4,14,4
yanked,3,4,1,1,1,0
creators,2,10,1,1,3,0
double,27,55,12,21,12,1
paned,1,0,0,0,0,0
ramp,4,1,1,4,9,0
thingies,0,1,1,0,0,0
disposal,2,4,1,0,2,0
tapes,1,3,2,2,1,0
drawer,6,12,3,6,5,2
misused,5,1,0,4,0,0
courageous,3,20,3,1,11,1
lawmakers,0,1,0,0,0,0
cling,15,15,6,3,9,2
integrity,7,27,3,11,5,0
thankyou,1,2,1,1,1,0
hahah,9,6,0,2,1,1
judging,28,24,6,14,16,8
sadie,1,4,1,2,0,1
vladimir,1,0,0,0,0,0
vermezovic,1,0,0,0,0,0
writerly,3,3,0,1,1,0
imminent,5,5,0,4,2,0
largely,36,26,7,5,11,3
upbeat,12,33,3,5,3,1
palate,1,4,1,0,0,0
soggy,6,3,1,3,0,0
leaf,6,16,6,3,4,1
devours,0,1,0,0,0,0
freethoughtblogs,1,0,0,0,4,0
forwarded,2,4,0,1,0,0
eddie,1,4,1,0,1,0
ratner,0,2,0,0,0,0
sherak,0,1,0,0,0,0
murphys,0,1,0,0,0,0
tensions,2,5,1,2,1,2
lit,15,25,4,2,6,3
compilation,2,1,1,1,0,0
publications,4,3,4,1,0,0
decks,0,5,0,0,0,0
opinons,0,2,0,0,0,0
completeness,0,1,0,0,0,0
freedoms,5,9,5,1,0,2
mumford,1,5,1,0,0,0
spelled,1,5,2,1,0,0
pneumonia,6,2,0,2,0,0
hollygems,0,1,0,0,0,0
nicely,7,41,12,8,6,2
destiny,14,20,3,6,15,3
confirm,8,8,2,9,7,0
contract,9,25,3,2,6,1
cardiac,2,0,0,1,0,0
roller,34,26,5,6,6,2
coaster,33,20,4,4,4,2
inches,13,18,1,2,8,6
hogging,1,0,0,6,1,0
platter,4,3,0,0,1,0
preach,7,8,0,2,1,0
buddha,5,9,2,2,3,2
internally,16,12,2,3,12,2
sluggish,31,16,1,8,1,0
intuition,6,25,6,2,5,0
liek,3,1,2,3,1,0
roleplay,1,3,1,1,0,0
openmindded,0,0,1,0,0,0
thepamperedsparrow,0,1,0,0,0,0
blogpost,6,5,1,1,2,1
blink,3,11,4,5,6,2
pharaohs,0,1,0,0,0,0
suffered,47,20,4,13,18,4
garmin,3,2,1,1,3,1
daffodils,1,2,1,0,0,0
dismal,5,5,2,0,0,1
cheerfulness,2,6,0,0,0,0
joys,15,17,5,3,0,0
effecting,4,2,0,4,2,0
pei,2,1,0,2,0,0
suffocate,3,3,1,0,0,0
occurs,13,15,4,11,4,3
sneezing,16,5,0,3,0,0
herbs,1,14,0,0,1,0
mint,3,14,2,0,5,0
cocktails,1,4,3,1,1,0
hallie,0,0,0,0,1,1
ringtone,0,4,0,0,0,0
karaoke,11,5,0,0,0,0
consisted,3,4,1,3,1,0
tvs,0,2,0,0,1,1
poll,1,7,2,1,1,0
drown,18,8,2,6,7,0
sorrows,6,8,1,3,1,1
salt,15,38,9,7,4,1
vinegar,2,5,0,2,2,1
batter,6,5,0,0,0,0
impostor,8,2,0,0,1,0
parable,1,5,1,0,2,0
emptied,1,7,2,2,1,0
controlled,7,16,6,3,9,1
dancecard,1,0,0,0,0,0
sprinklers,1,0,0,0,0,0
prank,5,6,0,2,0,1
huh,11,11,4,6,3,2
predicament,8,5,2,2,1,1
croesus,0,1,0,0,0,0
savannah,2,6,1,2,0,0
sue,8,14,3,9,3,1
valentine,4,7,3,1,0,0
stomp,6,4,1,2,0,0
acquainted,1,7,3,3,0,0
cheriee,0,1,0,0,0,0
cherie,1,2,0,0,0,0
alike,8,17,5,4,3,1
pronounced,4,5,2,0,1,2
eerie,3,2,2,3,3,1
telepathy,0,2,0,1,1,0
julie,5,16,1,3,4,3
crit,1,0,0,0,2,0
confined,6,10,1,5,3,0
drowsy,13,3,1,4,2,0
notebooks,3,5,15,1,2,0
sidual,2,0,0,0,0,0
demeanor,7,4,1,4,1,0
bereft,10,5,1,2,1,0
begrudge,2,3,0,1,2,0
personalizing,1,0,0,0,0,0
weirdly,8,22,5,9,13,0
participation,2,17,6,3,1,2
profits,5,6,1,4,0,0
quarter,18,27,1,5,6,3
outragous,0,1,0,0,0,0
uncontrolable,1,1,0,0,0,0
historical,9,26,5,5,4,3
literary,6,25,2,3,5,4
rp,4,4,0,0,0,0
facts,19,32,9,8,7,2
alliance,7,7,3,1,3,0
meridian,1,1,0,0,0,0
mara,1,0,1,1,0,0
phoenix,7,10,5,3,2,0
cousin,24,31,15,17,8,7
mock,5,7,4,3,2,0
supermarket,6,9,4,5,2,0
remembers,3,9,4,1,0,0
males,3,8,4,5,8,2
grisham,1,1,0,0,0,0
ab,6,7,0,1,1,1
vacuum,10,9,1,1,2,0
cleaned,17,40,2,14,5,2
carpeted,0,2,0,0,0,0
minorly,1,0,0,0,2,0
destroy,19,17,5,20,8,1
rihanna,5,2,1,2,0,0
railway,4,4,0,3,3,0
pursuit,6,18,3,7,1,0
rainbows,3,9,6,2,1,0
wound,21,21,9,17,8,5
blueberries,2,4,1,0,1,0
adrenaline,14,18,9,4,14,3
punnet,0,0,0,1,1,1
strawberries,6,3,5,2,3,5
pouty,1,4,2,2,1,0
rewardy,1,0,0,0,0,0
oils,5,14,3,2,0,2
jiyoung,4,0,0,0,0,0
nicole,4,7,2,1,2,1
procedure,8,16,3,4,9,2
applied,14,35,9,10,7,3
sleepy,59,46,6,19,5,7
sighed,10,4,2,1,6,0
myriad,3,6,3,6,3,0
object,27,37,8,10,7,6
donovans,0,1,0,0,0,0
induction,2,5,0,4,2,1
gnr,0,1,0,0,0,0
derived,3,2,0,0,0,0
donovan,0,4,2,0,0,0
yellow,17,39,8,9,12,1
incoming,0,4,0,3,1,1
chris,29,32,14,12,10,6
concluding,1,3,0,0,0,0
tempting,3,3,1,3,2,0
innovate,1,1,0,0,0,0
carries,8,9,3,0,2,1
cheesy,12,12,5,4,9,3
fries,12,8,2,2,0,0
callous,3,1,1,6,0,1
bursts,5,9,2,4,1,1
steam,12,17,2,13,3,1
valve,2,1,0,3,6,0
lyrical,0,1,1,9,1,0
paranoia,11,10,1,6,12,1
nsaids,0,1,0,0,0,0
zhaneel,0,0,0,0,1,0
founded,3,6,0,0,1,0
complexes,1,1,0,0,1,0
tease,5,10,9,5,4,1
sustainable,7,9,1,0,3,1
lurve,0,2,0,0,0,0
testimont,0,0,0,1,0,0
suspicion,7,4,2,2,11,1
wednesday,67,61,9,13,20,10
gplusone,2,3,0,0,1,0
themusicfire,0,5,0,0,0,0
bum,16,7,5,4,9,1
peddler,0,0,1,1,0,0
zinging,0,0,0,0,1,1
chess,6,6,1,5,1,0
championship,9,14,1,4,1,1
theyd,23,17,6,10,6,4
fig,1,3,0,1,2,1
clafoutis,0,1,0,0,0,0
hosts,3,8,3,2,0,0
iloke,0,0,0,0,1,0
yah,8,2,0,0,1,0
icy,4,6,6,5,6,0
absurd,14,9,2,11,1,3
squats,2,6,0,1,2,1
oblique,2,1,0,0,1,1
exercises,10,18,2,5,15,2
lethal,6,2,1,0,1,0
overdose,3,1,0,1,0,0
molesting,0,1,1,1,0,0
openly,22,42,13,9,11,3
facial,7,19,6,4,2,0
piercings,1,3,1,1,2,1
slack,15,10,3,2,3,1
visitors,8,30,3,9,5,4
file,8,16,3,7,3,1
malpractice,0,0,0,1,0,0
professionals,6,28,4,6,4,4
tuition,8,8,0,2,5,0
contrary,4,14,2,7,4,2
damaging,6,9,0,3,2,1
serenity,3,15,6,6,3,2
upcycled,0,1,0,0,0,0
treasury,1,5,0,1,0,0
processing,10,14,2,3,6,4
tamale,0,1,0,0,0,0
approximately,7,9,0,3,7,1
opposition,10,6,4,5,5,1
scale,43,69,3,18,11,7
repurchase,3,1,1,0,0,1
yves,1,2,1,1,0,0
saint,6,14,5,5,1,2
lauren,8,10,7,4,3,1
touche,0,0,1,0,0,0
eclat,0,0,1,0,0,0
protected,3,52,8,3,6,2
adored,3,8,8,1,1,0
variation,1,5,2,3,1,1
doctoral,0,4,1,0,1,1
mackin,0,1,0,0,0,0
makings,0,2,0,2,0,0
shield,11,10,4,5,3,1
maiden,1,6,0,1,0,0
tended,7,3,1,3,2,0
phenomenal,1,5,0,0,0,1
sermon,7,6,3,5,2,3
lumsden,0,0,0,0,0,1
sermons,2,1,0,0,0,2
cedric,1,0,1,1,0,0
faina,1,0,0,1,0,0
shauna,2,1,0,1,0,0
hok,1,0,0,1,0,0
jaime,2,1,1,2,0,0
sara,9,9,3,5,3,0
punching,3,12,5,11,3,1
shahrukh,0,0,1,1,0,0
automatic,4,18,0,6,3,2
disassociated,1,0,0,1,1,0
loathe,16,11,4,4,3,2
celiac,1,2,0,2,1,0
whiner,3,1,0,0,4,0
chaotic,24,14,1,3,3,3
sir,14,23,5,4,10,0
ferguson,1,2,0,0,0,0
admirer,0,1,0,1,0,0
dme,0,1,0,0,0,0
hme,0,1,0,0,0,0
ivfs,0,1,0,0,0,0
seedlings,0,2,0,0,0,0
punnets,0,1,0,0,0,0
cigarrettes,0,0,0,1,0,0
sixteen,5,7,1,4,1,0
tro,2,1,0,0,0,0
weaning,4,0,0,1,1,0
uprooting,0,0,1,0,2,0
consolation,4,3,1,1,2,0
cliffs,0,1,0,0,3,0
quotes,10,23,9,10,6,8
beholder,0,0,1,0,0,0
sevilla,0,4,0,0,1,0
hadn,63,41,11,12,22,14
giffords,0,0,0,1,0,0
livestrong,0,0,0,1,0,0
mankind,6,11,3,9,0,0
periodically,6,2,2,5,0,0
paternal,2,2,3,1,1,1
separating,5,9,3,1,3,0
https,26,67,14,6,6,3
skunk,0,1,1,2,0,0
invaded,8,6,3,9,9,1
van,17,29,5,13,6,1
winkle,0,1,0,0,1,1
reluctantly,8,2,3,1,1,1
skimmed,2,3,2,2,0,0
caroline,10,5,2,0,1,0
comforting,26,19,12,5,15,2
snipping,2,1,0,0,0,0
nano,3,8,2,4,2,0
tendency,35,19,12,18,8,1
representation,4,25,1,1,7,1
agejo,0,1,0,0,0,0
faculty,3,18,6,3,0,2
sphere,3,11,1,1,3,2
rediculous,3,0,0,1,1,0
streak,9,9,1,13,3,0
zooming,1,3,1,1,1,1
adam,9,14,4,10,4,0
maneuver,3,1,1,0,1,0
spicy,5,10,7,1,0,0
curry,6,10,2,1,0,0
sticky,9,15,20,12,0,2
referencing,1,3,0,0,0,0
profoundly,31,20,6,9,5,4
warped,3,2,0,1,0,1
smh,1,1,0,2,0,0
blues,22,19,6,10,4,2
arabic,0,6,1,3,1,0
stephen,7,16,4,5,1,1
zamalek,0,1,0,0,0,0
artificial,1,8,1,3,6,1
interstellar,0,1,0,0,0,0
womb,5,11,5,1,3,2
shelves,6,17,6,5,2,1
archetype,0,6,2,1,0,0
nautilus,0,1,0,0,0,0
midway,1,2,2,1,2,0
guidos,1,0,0,0,0,0
italians,2,3,1,3,1,0
instructed,2,2,1,0,1,0
midwife,7,15,5,3,6,1
unseasonably,0,0,1,0,0,0
pdx,0,1,1,0,0,0
reintegrating,0,1,0,0,2,0
sought,13,12,3,4,3,0
blissful,3,24,2,4,3,1
ignorance,25,18,4,25,9,2
flannel,1,4,2,2,0,0
conservatives,6,3,1,6,1,0
cupcake,3,6,3,6,2,1
mileage,8,5,0,1,3,0
dissociation,3,0,0,1,3,1
horrors,5,5,2,3,1,0
unfold,5,12,0,5,6,3
harassment,4,6,0,2,7,0
radius,4,1,0,2,0,0
culprit,9,0,0,2,2,1
pffffft,1,0,0,0,0,0
succumbing,1,6,0,1,1,0
fannish,1,2,1,0,0,1
wiggly,0,1,0,0,0,2
midori,1,1,0,0,0,0
cultural,12,24,5,6,8,4
utilizing,2,10,1,1,1,0
motivate,17,25,2,2,3,1
avoidy,0,0,0,1,0,0
irrevocably,5,1,1,2,2,0
productions,1,3,2,0,0,1
gal,7,24,5,7,0,2
gadot,1,0,0,0,0,0
mos,2,0,0,0,1,0
fishers,0,1,0,0,0,0
stairway,2,0,0,0,2,0
frazzled,7,4,2,10,9,1
grows,17,23,5,5,3,1
unmanly,1,0,0,0,0,0
fibre,0,7,0,0,0,0
findlay,0,1,0,0,0,0
patty,0,4,1,2,0,1
southside,0,0,0,0,1,0
northside,0,0,0,0,2,0
route,29,41,3,13,12,3
wandered,11,10,4,4,7,4
spiraled,0,1,0,0,1,0
staircase,2,3,1,0,1,0
scaredy,1,1,0,0,2,0
charities,2,2,6,1,1,0
nudity,1,3,2,1,2,0
pants,34,80,22,31,19,8
lascivious,0,1,1,0,0,0
dissappeared,1,0,0,0,1,0
housemates,4,7,1,1,0,0
underfoot,0,5,2,0,1,0
scenes,31,30,16,17,14,11
stab,11,5,1,7,2,0
unleash,6,4,1,4,3,0
gymnastics,3,3,0,0,2,0
bankruptcy,3,4,1,0,1,0
judgemental,5,8,2,6,2,0
contest,13,23,3,14,7,2
spank,6,3,3,1,0,0
paddle,4,7,3,0,0,0
landing,5,29,3,3,2,0
rollercoaster,13,8,1,4,3,1
depsite,1,1,1,0,0,0
miracly,0,1,0,0,0,0
hula,1,2,0,0,0,0
dancers,2,10,1,4,3,2
swung,2,6,0,1,2,0
alec,1,5,0,1,0,0
imperfect,6,7,1,2,5,1
lowest,15,8,1,4,4,0
chili,1,6,2,6,0,0
peppers,0,8,5,2,1,1
stumbling,3,4,0,2,3,0
urging,5,8,7,2,2,0
dedicate,8,15,2,5,1,0
experimenting,2,17,3,2,5,0
sample,6,21,4,2,4,2
audiobooks,3,3,0,0,0,0
compelled,22,16,2,8,13,2
nagging,50,20,7,20,11,0
ninny,0,0,0,1,0,0
similair,0,1,0,0,0,0
relagated,1,0,0,0,0,0
ma,20,16,4,6,3,4
sheep,9,8,2,2,2,4
sunset,10,12,4,2,2,1
armfull,0,1,0,0,0,0
brighten,7,6,3,1,0,0
wrapped,28,47,20,13,9,3
strongest,11,20,13,6,3,2
unfaithful,4,1,2,3,0,0
unjustified,2,0,0,5,1,0
promising,13,14,2,5,6,0
wp,22,20,1,7,1,0
cage,11,8,1,12,8,1
impounded,0,0,0,3,1,0
disillusion,2,1,1,1,1,0
conditioning,8,14,1,2,0,0
skateparks,1,0,0,1,0,0
murali,1,0,0,0,0,0
celebratory,3,10,1,1,2,1
virgin,8,21,1,5,1,1
inanimate,1,2,2,1,2,1
objects,6,18,7,6,8,1
include,29,93,21,23,14,11
giveaway,6,42,29,4,3,0
burgess,0,1,0,0,1,0
hallway,7,7,2,4,8,2
cornfield,0,0,0,0,1,0
surfaces,5,1,1,0,4,0
electronic,3,7,1,2,5,2
longterm,2,2,1,0,0,0
truman,0,2,0,0,2,0
lodgings,1,0,1,0,1,0
squeezing,8,14,3,1,1,0
aspirins,0,0,0,1,0,0
enormous,13,19,5,5,6,1
tabata,0,1,0,0,0,0
blogspot,3,1,1,0,0,1
mournful,111,1,0,0,0,0
gw,3,2,2,0,0,0
yearly,1,4,2,0,0,0
models,7,19,8,4,8,6
expense,11,22,2,9,1,1
abraham,1,4,0,2,0,1
ashes,6,8,2,2,1,1
jacob,7,7,2,4,2,2
mercies,1,1,22,2,0,0
chief,5,12,1,6,1,1
sinners,1,0,1,2,0,0
incognito,0,0,0,0,0,1
summertime,4,7,1,0,0,2
chipping,2,5,1,1,0,0
pole,3,12,2,4,3,1
seef,0,1,0,0,0,0
leap,7,16,10,3,13,4
resolves,0,1,0,0,0,0
yuya,0,0,1,0,1,0
sassoon,0,3,1,0,0,0
outsiders,3,5,3,1,0,0
severe,27,18,8,9,14,1
maladies,0,1,0,0,0,0
necessities,3,2,0,6,1,0
nether,0,1,0,1,0,0
regions,3,1,0,3,0,0
responding,16,18,5,16,9,6
exceptionally,20,36,8,12,14,2
repairs,8,2,0,0,1,0
warranty,4,1,0,0,2,0
suri,2,0,1,0,0,0
pathways,1,4,0,0,1,0
micmac,1,0,0,1,0,0
fagged,1,0,0,1,0,0
luckliy,1,0,0,0,0,0
sighs,3,4,5,7,2,1
oneself,9,20,4,5,6,1
depreciation,1,0,0,0,0,0
guity,0,1,0,0,0,0
visited,22,36,9,14,9,2
gamemakers,0,1,1,1,0,0
sellout,4,0,0,0,0,0
mysteriously,4,1,0,3,1,0
festival,16,32,11,5,10,5
bands,15,31,12,10,8,6
squeeful,0,0,0,1,0,0
saiunkoku,0,0,0,1,0,0
trach,3,0,0,0,0,0
complications,4,11,1,2,1,0
pulmonary,1,1,0,0,0,0
hypertension,1,2,0,1,0,0
distrustful,1,1,2,1,1,0
adoptive,4,4,2,0,1,0
respecting,2,9,7,4,0,3
birthmother,0,1,1,0,0,0
vera,3,3,0,0,0,0
bradley,5,2,2,0,1,0
tote,2,4,1,0,0,0
charger,3,1,0,1,0,0
cords,1,0,1,0,1,0
lens,12,23,6,4,5,1
pitt,0,6,1,0,0,2
benjamin,2,4,4,1,1,11
daytime,4,8,2,1,0,0
risky,1,8,1,4,2,0
roam,6,9,2,0,2,0
mushed,0,0,0,0,1,0
scource,0,0,0,0,1,0
vatsala,0,1,0,0,0,0
tomato,11,13,1,2,2,1
spider,8,17,6,5,10,2
vine,2,3,0,1,0,0
surrender,14,20,6,5,1,1
teas,0,4,3,0,0,0
rat,11,14,0,12,4,5
fleeing,1,2,0,0,1,0
ship,19,23,5,12,7,5
directed,14,14,3,19,3,0
sweetness,7,18,3,8,1,1
firstborn,2,1,1,1,0,0
mojo,9,14,0,2,1,0
yelling,19,14,7,23,9,2
awestruck,1,3,1,1,0,2
sciences,3,3,0,3,3,0
turi,0,1,0,0,0,0
graders,3,8,1,2,2,0
irritants,0,0,0,1,0,0
wal,1,8,3,3,2,1
mart,1,9,3,3,1,2
soap,11,14,5,7,1,0
chloes,0,1,0,0,2,1
learns,7,7,6,1,0,0
elli,0,1,0,1,0,0
noble,6,13,7,2,4,3
lifes,19,29,5,7,10,2
sa,6,13,3,8,3,0
aming,0,1,0,0,0,0
nayon,0,1,0,0,0,0
halt,7,2,1,2,2,1
newer,7,7,4,1,6,0
pools,4,2,1,1,0,0
swansfield,1,0,0,0,0,0
kallari,0,1,0,0,0,0
freud,0,2,0,1,1,1
select,13,12,6,8,4,1
portion,20,44,7,12,3,0
sizes,5,18,6,2,2,1
dates,25,21,6,12,9,2
kicked,37,23,12,20,15,4
wheels,6,12,3,6,6,0
spinning,18,15,1,9,8,1
marble,2,5,1,2,1,0
slabs,0,1,0,2,0,0
reverence,7,11,4,2,2,1
encased,1,1,0,1,1,0
tenth,2,3,1,1,1,1
guru,6,9,0,2,0,0
nanak,0,0,0,1,0,0
modest,3,15,1,1,4,1
gurudwaras,0,0,0,1,0,0
flush,9,5,9,5,1,0
cosby,0,0,0,0,0,1
stroking,1,4,12,0,2,0
companionship,13,11,7,1,1,0
greg,5,7,1,4,6,0
catchphrases,0,2,0,0,0,0
confront,21,8,1,7,10,3
instability,5,1,1,0,0,0
humans,33,48,24,31,19,9
oprah,10,8,2,3,1,0
queruloussquirreldaily,2,0,0,0,0,0
wopas,1,0,0,0,0,0
switch,32,34,8,20,23,9
contribution,10,38,2,4,1,1
chip,15,15,8,6,3,2
mistreatment,1,0,0,0,0,0
optimism,8,23,1,5,4,0
backed,8,7,4,3,5,2
fastest,0,7,0,4,1,0
criminal,9,9,4,9,2,0
bestows,0,2,0,0,1,0
angrily,2,0,0,7,3,0
excess,13,4,5,1,2,0
niga,1,0,0,10,0,0
mwonde,1,0,0,0,0,0
aku,11,1,0,2,1,0
tidak,2,0,0,0,0,0
tahu,2,0,0,0,0,0
mengapa,1,0,0,0,0,0
merasa,1,0,0,0,1,0
enak,1,0,0,0,0,0
siapa,1,0,0,0,0,0
kau,1,0,0,0,0,0
steampunky,0,2,1,0,0,0
advocate,7,16,4,3,5,2
seek,57,66,18,24,16,7
centers,4,3,0,0,4,1
lend,8,13,7,2,1,2
uneducated,3,3,2,3,2,0
bilingual,3,3,0,1,0,0
inauguration,1,4,0,0,0,0
vowed,6,7,1,3,2,0
vunerable,4,2,2,1,1,0
alien,18,6,0,1,12,2
grappling,3,1,0,0,1,0
inadequacy,20,9,2,7,5,0
isolation,19,15,3,7,4,4
educational,14,19,9,4,4,1
thai,10,11,5,1,6,3
adolescents,1,4,1,0,0,0
vanquish,1,1,1,1,1,0
wrongdoing,1,1,0,0,0,0
injure,2,2,1,0,2,0
miracles,3,11,4,4,1,3
waxing,2,2,0,0,1,0
detriment,1,1,0,4,2,0
hematologist,0,0,0,1,0,0
huff,0,1,1,1,0,0
blurt,5,2,0,1,2,0
incomprehension,2,0,0,0,0,0
affirming,2,6,1,2,0,0
withhold,4,3,1,2,0,1
poking,3,6,5,6,3,1
holes,17,23,4,9,10,2
dandy,3,5,1,1,0,1
confirmed,9,13,1,1,3,0
apologizing,15,5,1,7,3,0
iced,4,10,2,2,3,0
societys,4,4,0,0,1,0
bratty,4,1,0,3,0,1
behaviors,13,8,0,16,8,1
desirable,3,11,4,3,1,1
influential,2,8,1,4,2,0
mights,0,1,0,0,0,0
maybes,0,1,0,0,0,0
hostess,9,2,0,3,1,0
adults,33,35,9,15,13,4
kiddoes,0,0,0,0,1,0
varying,1,4,2,2,2,1
preferences,2,12,2,0,5,2
glow,12,37,9,2,7,2
wed,24,23,12,7,9,3
dredged,0,2,0,0,1,0
ajumma,1,0,0,0,0,0
prompt,8,7,1,3,2,0
ramadan,4,5,2,2,0,0
liking,58,41,19,16,18,8
traumatic,21,5,0,0,5,2
bogo,0,2,0,0,0,0
bastardized,0,1,0,0,0,0
adamant,4,2,0,1,1,1
crux,0,5,1,3,1,0
rave,2,4,2,4,1,1
remembrance,3,4,4,1,2,1
grease,4,3,3,2,2,0
belt,17,33,6,8,9,2
customs,3,4,2,2,4,0
climates,1,1,0,1,0,0
saudi,2,6,0,0,2,0
arabia,2,3,0,2,2,0
censored,2,1,0,0,2,0
saddest,7,1,1,0,0,0
spills,0,2,0,2,0,0
architecture,7,8,1,3,1,1
popping,9,21,10,8,6,4
fizzed,0,0,1,0,0,0
dissappointed,1,1,0,1,1,0
gratefull,1,0,0,0,0,0
vdu,1,0,0,0,0,0
forum,15,33,8,6,1,0
hugs,24,24,21,8,6,3
nembutal,0,1,0,0,0,0
induces,1,1,1,1,0,0
redundant,9,1,2,0,1,0
ownership,3,14,4,5,3,1
craziness,6,12,6,2,1,1
whimsy,1,1,2,0,0,2
grand,30,60,13,9,3,3
scheme,26,23,2,6,5,1
higherself,0,2,0,0,0,0
evaporates,0,1,0,0,2,0
fluids,8,10,1,0,0,2
definately,8,9,3,5,4,2
enjorlas,0,1,0,0,0,0
marius,1,3,1,1,0,1
schoolboy,0,2,2,0,1,0
whims,3,5,2,1,0,0
concequences,0,1,0,0,0,0
fathom,8,9,1,2,5,0
suburbs,7,6,2,0,1,0
blanc,1,3,0,0,0,0
matin,0,2,0,0,0,0
zigzagged,0,0,0,0,0,1
thatwas,0,0,0,0,1,0
irksome,2,0,0,1,2,0
luna,4,2,1,2,0,0
yumerias,1,0,0,0,0,0
unseen,7,7,1,1,3,0
summon,5,6,1,0,2,1
anal,3,4,1,4,1,0
falter,5,4,4,0,0,1
stylist,4,7,2,1,1,1
misinterpreted,5,2,0,0,0,0
renovation,3,4,2,1,0,0
noisily,0,0,0,2,0,0
greeted,6,18,3,6,1,1
seventy,4,3,2,2,1,0
clips,3,9,0,2,1,1
